Feature,Importance
MonthlyIncome,0.07255842242856665
Age,0.06310916260281903
TotalWorkingYears,0.05993326919927536
DailyRate,0.04920765929765129
OverTime,0.044558944316065344
HourlyRate,0.04409791160507883
EmployeeNumber,0.04383210085122577
MonthlyRate,0.04246053133304303
DistanceFromHome,0.042041238043774375
YearsAtCompany,0.041114594766887114
YearsWithCurrManager,0.03433082969558836
PercentSalaryHike,0.030030429308124988
NumCompaniesWorked,0.02942277016235272
EnvironmentSatisfaction,0.02810892239999753
JobInvolvement,0.026288817175159428
